modele_id,marque,marque_id,modele,nom_complet,nom_affichage,nom_fr,titre_fr,type_fr,prix_lancement_eur,prix_source,marche_fr,priorite,vues_60j,a_version_fr,nb_langues,titre_wikipedia,pays_origine,ecole,categorie,annee_debut,annee_fin,cylindree_cc,architecture,refroidissement,puissance_ch,puissance_kw,puissance_tr_min,couple_nm,couple_tr_min,poids_kg,poids_type,poids_sec_kg,poids_tous_pleins_kg,hauteur_selle_mm,empattement_mm,longueur_mm,largeur_mm,hauteur_mm,reservoir_l,vitesse_max_kmh,a2_compatible,a2_detail,moteur,alesage_course,compression,transmission,cadre,suspension,freins,pneus,consommation,predecesseur,successeur,aussi_appele,image_url,wikidata_id,url_wikipedia,url_wikipedia_fr,source_specs_fr,image_vignette,image_licence,image_auteur,image_page,image_utilisable,resume_fr,production_raw,completude_pct,alertes,source
royal-enfield-himalayan,Royal Enfield,royal-enfield,Royal Enfield Himalayan,Royal Enfield Himalayan,Royal Enfield Himalayan,Royal Enfield Himalayan 411,Royal Enfield Himalayan,Trail,4695,Wikipedia FR - prix au lancement (2016),oui,210.3,10218,oui,4,Royal Enfield Himalayan,Inde,indienne,Trail / Aventure,2016,2023,411.0,Monocylindre,Liquide,24.5,18.02,6500.0,,4000.0,200.0,tous pleins faits,182.0,200.0,800.0,1465.0,,,,15.0,127.0,oui,"18.0 kW, 0.090 kW/kg",monocylindre 4 temps refroidi par air,78 × 86 mm / 84 × 81.5 mm,9.5:1 / 11.5:1 - 411 cc variant. 12.xyc 452 cc variant.,par chaîne,double berceau,fourche télescopique ⌀ 41 mm / monoamortisseur,"1 disque ⌀ 300 mm, étrier 2 pistons / 1 disque ⌀ 240 mm, étrier 1 piston",90/90-21 / 120/90-17,,,,,https://upload.wikimedia.org/wikipedia/commons/8/85/Royal_Enfield_Himalyana_DB2K5445.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q23637358,https://en.wikipedia.org/wiki/Royal_Enfield_Himalayan,https://fr.wikipedia.org/wiki/Royal_Enfield_Himalayan,https://fr.wikipedia.org/wiki/Royal_Enfield_Himalayan,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Royal_Enfield_Himalyana_DB2K5445.jpg/960px-Royal_Enfield_Himalyana_DB2K5445.jpg,CC0,Ashley Pomeroy,https://commons.wikimedia.org/wiki/File:Royal_Enfield_Himalyana_DB2K5445.jpg,oui,"L'Himalayan est un modèle de moto de type ""trail"" fabriquée en Inde par Royal Enfield.",2016-2023 411 cc variant. 2023 on - 452 cc variant.,93,,Wikipedia EN (CC BY-SA 4.0)
yamaha-yzf-r1,Yamaha,yamaha,Yamaha YZF-R1,Yamaha YZF-R1,Yamaha YZF-R1,,Yamaha YZF,,,,oui,208.8,26613,oui,26,Yamaha YZF-R1,Japon,japonaise,Sportive,1998,,998.0,,,201.8,148.39,,,,203.0,tous pleins faits,179.0,203.0,855.98,1404.62,2054.86,690.88,,,299.0,non,puissance > 35 kW,998cc CP4 crossplane engine,,,6-speed; wet multiplate assist and slipper clutch,Deltabox aluminum alloy,,F: Dual 320mm hydraulic disc / R: Dual 220mm hydraulic disc,,,Yamaha YZF1000R,,Yamaha R1,https://upload.wikimedia.org/wikipedia/commons/5/51/2015_Yamaha_YZF-R1_crop.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q604551,https://en.wikipedia.org/wiki/Yamaha_YZF-R1,https://fr.wikipedia.org/wiki/Yamaha_YZF,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/2015_Yamaha_YZF-R1_crop.JPG/960px-2015_Yamaha_YZF-R1_crop.JPG,CC BY-SA 4.0,Rainmaker47,https://commons.wikimedia.org/wiki/File:2015_Yamaha_YZF-R1_crop.JPG,oui,La Yamaha YZF est une série de modèles de motos sportives produites par Yamaha Motor Company. La lignée des YZF débute en 1993 avec la 750. Elle se perpétue encore aujourd'hui.,1998–present,73,,Wikipedia EN (CC BY-SA 4.0)
yamaha-mt-09,Yamaha,yamaha,Yamaha MT-09,Yamaha MT-09,Yamaha MT-09,Yamaha MT-09,Yamaha MT-09,Roadster,7799,Wikipedia FR - prix au lancement (2014),oui,208.1,11358,oui,6,Yamaha MT-09,Japon,japonaise,Roadster,2014,,847.2,3 cylindres,Liquide,119.0,87.5,10000,93.0,7000,188.0,tous pleins faits,177.0,188.0,820.0,1440.0,,,,14.0,230.0,non,puissance > 35 kW,"tricylindre en ligne, 4T, refroidissement liquide",,11.5:1,chaîne,périmétrique,fourche télescopique inversée / mono-amortisseur,"2 disques ⌀ 298 mm, étriers / disque ⌀ 245 mm, étrier",120/70 x 17 / 180/55 x 17,,Yamaha FZ8,,Yamaha FZ-09 (North America; 2014–2017),https://upload.wikimedia.org/wikipedia/commons/7/7f/2024_Yamaha_MT-09_Y-AMT.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q15199531,https://en.wikipedia.org/wiki/Yamaha_MT-09,https://fr.wikipedia.org/wiki/Yamaha_MT-09,https://fr.wikipedia.org/wiki/Yamaha_MT-09,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/2024_Yamaha_MT-09_Y-AMT.jpg/960px-2024_Yamaha_MT-09_Y-AMT.jpg,CC BY-SA 4.0,Chanokchon,https://commons.wikimedia.org/wiki/File:2024_Yamaha_MT-09_Y-AMT.jpg,oui,La MT-09 (ou FZ-09 en Amérique du Nord jusqu'en 2017) est un modèle de moto du constructeur japonais Yamaha Motor inaugurant un nouveau moteur tricylindre. Sa dénomination « MT » pour « Master of Torque » la classe dans la lignée de la MT-01.,2014–present,100,,Wikipedia EN (CC BY-SA 4.0)
yamaha-vmax,Yamaha,yamaha,Yamaha V-Max,Yamaha V-Max,Yamaha VMax,Yamaha 1200 VMax,Yamaha VMax,Custom,,,oui,206.5,11340,oui,17,Yamaha VMAX,Japon,japonaise,Custom / Cruiser,1985,2005,1197.0,,Liquide,121.7,89.48,8000.0,,3000.0,286.22,tous pleins faits,271.0,286.22,765.0,1590.0,2300.0,795.0,1160.0,15.0,241.4,non,puissance > 35 kW,"4 cylindres en V à 70°, 4T, refroidissement liquide",76 × 66 mm,,par arbre et cardan,double berceau,fourche télescopique Ø 40 mm / 2 combinés,"2 disques Ø 282 mm, étriers 2 pistons / disque Ø 282 mm, étrier 2 pistons",110/90 x 18 / 150/90 x 15,34.2 mpgus,,,VMAX,https://upload.wikimedia.org/wikipedia/commons/2/2d/VMAX_day_2009_two_bikes_and_flags.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q1347870,https://en.wikipedia.org/wiki/Yamaha_VMAX,https://fr.wikipedia.org/wiki/Yamaha_VMax,https://fr.wikipedia.org/wiki/Yamaha_VMax,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/VMAX_day_2009_two_bikes_and_flags.jpg/960px-VMAX_day_2009_two_bikes_and_flags.jpg,CC BY 2.0,"fotois.com from Kanagawa-ken, Japan",https://commons.wikimedia.org/wiki/File:VMAX_day_2009_two_bikes_and_flags.jpg,oui,"La VMax est un modèle de motocyclette, construite par la firme japonaise Yamaha Motor Company.",1985–2005,87,,Wikipedia EN (CC BY-SA 4.0)
yamaha-tracer-900,Yamaha,yamaha,Yamaha Tracer 900,Yamaha Tracer 900,Yamaha Tracer 900,Yamaha Tracer 9,Yamaha Tracer 9,Trail routier,9999,Wikipedia FR - prix au lancement (2015),oui,205.9,4479,oui,5,Yamaha Tracer 900,Japon,japonaise,Routière / GT,2015,,847.2,3 cylindres,Liquide,116.6,85.76,10000,87.45,8500,209.56,tous pleins faits,190.0,209.56,845.0,1440.18,2160.0,950.0,1345.0,18.0,225.31,non,puissance > 35 kW,"tricylindre en ligne, 4T, refroidissement liquide",,11.5:1,chaîne,périmétrique,fourche téléhydraulique inversée / mono-amortisseur,"2 disques ⌀ 298 mm, étriers / disque ⌀ 245 mm, étrier",120/70 x 17 / 180/55 x 17,,Yamaha TDM 900,,"Yamaha FJ-09 (North America) / Yamaha MT-09 Tracer (Japan, South America, Australia, New Zealand)",https://upload.wikimedia.org/wikipedia/commons/3/30/Yamaha_Tracer_9_GT%2B_2025.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q23311260,https://en.wikipedia.org/wiki/Yamaha_Tracer_900,https://fr.wikipedia.org/wiki/Yamaha_Tracer_9,https://fr.wikipedia.org/wiki/Yamaha_Tracer_9,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Yamaha_Tracer_9_GT%2B_2025.jpg/960px-Yamaha_Tracer_9_GT%2B_2025.jpg,CC BY-SA 4.0,AVMOTO,https://commons.wikimedia.org/wiki/File:Yamaha_Tracer_9_GT%2B_2025.jpg,oui,La Yamaha Tracer 9 (FJ-09 en Amérique du Nord ou MT-09 Tracer / Tracer 900 dans le reste du monde à sa sortie) est un modèle de moto de type sport-GT (ou trail routier) sorti pour la première fois en 2015. Le moteur trois-cylindres crossplane est directement hérité de celui de la MT-09.,2015-present,100,,Wikipedia EN (CC BY-SA 4.0)
honda-cbr600rr,Honda,honda,Honda CBR600RR,Honda CBR600RR,Honda CBR600RR,Honda CBR600RR,Honda CBR600RR,Sportive,,,oui,204.1,11893,oui,15,Honda CBR600RR,Japon,japonaise,Sportive,2003,,599.0,,,120.0,88.26,13500.0,,11250.0,156.5,à sec,156.5,,823.0,1373.0,,,,18.1,260.0,non,puissance > 35 kW,"4 cylindres en ligne, 4 temps, refroidissement liquide",,,par chaîne,Périmétrique en aluminium,"Fourche inversée Showa ""Big Piston"" ∅ 41 mm, entièrement réglable / Mono-amortisseur Unit Pro-Link à gaz et réservoir séparé entièrement réglable","2 disques, étriers radiaux 4 pistons / 1 disque , étrier 1 piston",120/70 ZR 17 (58W) / 180/55 ZR 17 (73W),,Honda CBR600F4i,,,https://upload.wikimedia.org/wikipedia/commons/2/2a/2006_Honda_CBR_600RR_Racing_Bike_%2813337367265%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q1626501,https://en.wikipedia.org/wiki/Honda_CBR600RR,https://fr.wikipedia.org/wiki/Honda_CBR600RR,https://fr.wikipedia.org/wiki/Honda_CBR600RR,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/2006_Honda_CBR_600RR_Racing_Bike_%2813337367265%29.jpg/960px-2006_Honda_CBR_600RR_Racing_Bike_%2813337367265%29.jpg,CC BY 2.0,"Brett Levin from Parkland, USA",https://commons.wikimedia.org/wiki/File:2006_Honda_CBR_600RR_Racing_Bike_(13337367265).jpg,oui,"La Honda CBR600RR est une moto sportive de 599 cm3, de la gamme des CBR, introduite par Honda en 2003. Elle remporta entre 2002 et 2008 chaque Championnat du monde de Supersport. Elle réitère la performance en 2010, puis à nouveau en 2014. Elle rencontre rapidement un grand succès et reste l'une des sportives en 600 cm3 les plus appréciées en Europe[réf. nécessaire].",2003–present,87,,Wikipedia EN (CC BY-SA 4.0)
yamaha-tenere-700,Yamaha,yamaha,Yamaha Ténéré 700,Yamaha Ténéré 700,Yamaha 700 Ténéré,Yamaha 700 Ténéré,Yamaha 700 Ténéré,Trail,9699,Wikipedia FR - prix au lancement (2019),oui,203.8,4839,oui,5,Yamaha Ténéré 700,Japon,japonaise,Trail / Aventure,2019,2019,689.6,Twin parallèle,Liquide,73.1,53.8,9000,68.0,5500,205.0,tous pleins faits,190.0,205.0,875.0,1590.0,2365.0,915.0,1455.0,16.0,200.0,non,puissance > 35 kW,"bicylindre en ligne, 4-temps, refroidi par liquide",80.0 × 68.6 mm,11.5:1,par chaîne,,"fourche télescopique inversée / bras oscillant, avec biellettes",double disque de 282 mm / disque de 245 mm,90/90/21 / 150/70/18,,Yamaha XT660Z Ténéré,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Tenere_700.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q59773332,https://en.wikipedia.org/wiki/Yamaha_Ténéré_700,https://fr.wikipedia.org/wiki/Yamaha_700_Ténéré,https://fr.wikipedia.org/wiki/Yamaha_700_Ténéré,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Tenere_700.jpg/960px-Tenere_700.jpg,CC BY-SA 4.0,Happypap55,https://commons.wikimedia.org/wiki/File:Tenere_700.jpg,oui,"La Yamaha 700 Ténéré est une moto de type trail fabriquée par Yamaha Motor depuis 2019. Elle est la remplaçante de la XT660Z Ténéré. Elle est la nouvelle moto inspirée du Paris Dakar, c'est la descendante de la fameuse XTZ 750 Super Ténéré. La 700 Ténéré est assemblée en France dans l'usine MBK industrie de Saint-Quentin. Elle est également exportée de France vers les pays européens.",Since 2019,100,,Wikipedia EN (CC BY-SA 4.0)
honda-cb750-and-cr750,Honda,honda,CB750,Honda CB750,Honda CB 750 Four,Honda CB 750 Four,Honda CB 750 Four,Sportive,,,oui,203.8,11644,oui,15,Honda CB750 and CR750,Japon,japonaise,Roadster,1969,2008,736.0,,Air,68.9,50.71,8500,,7000,232.69,tous pleins faits,218.0,232.69,787.4,1455.42,2159.0,889.0,1117.6,19.0,201.17,non,puissance > 35 kW,"4-cylindres en ligne, 4T, refroidi par air",61 × 63 mm,,par chaîne,double berceau,fourche télescopique / 2 combinés,"1 disque ∅ 300 mm, étrier 1 piston / tambour simple came ∅ 180 mm","19"" / 18""",34.3 mpgus,Honda CB450,Honda CBX750,Honda Dream CB750 Four,https://upload.wikimedia.org/wikipedia/commons/0/05/Honda_CB750.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q1626541,https://en.wikipedia.org/wiki/Honda_CB750_and_CR750,https://fr.wikipedia.org/wiki/Honda_CB_750_Four,https://fr.wikipedia.org/wiki/Honda_CB_750_Four,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Honda_CB750.JPG/960px-Honda_CB750.JPG,CC BY-SA 3.0,Original uploader was Slarty-bart-farst at en.wikipedia,https://commons.wikimedia.org/wiki/File:Honda_CB750.JPG,oui,"La CB 750 Four est un modèle de moto produit par le groupe japonais Honda de 1968 à 1977, et qui marque, pour la plupart des observateurs, le passage à l'ère de la moto moderne.",1969–2008,87,,Wikipedia EN (CC BY-SA 4.0)
honda-cg125,Honda,honda,CG125,Honda CG125,Honda CG125,Honda CG125,Honda CG125,Utilitaire,,,oui,203.4,9855,oui,12,Honda CG125,Japon,japonaise,Roadster,1976,,124.0,Monocylindre,Air,10.6,7.83,9000.0,9.5,7000.0,105.0,tous pleins faits,95.0,105.0,764.0,1204.0,1912.0,735.0,1026.0,9.2,105.0,oui,"7.8 kW, 0.075 kW/kg",Monocylindre 4 temps refroidi par air,56.5 mm × 49.5 mm,9.0:1,Par chaîne sous carter étanche,Simple berceau interrompu,Fourche télescopique / Bras oscillant tubulaire,Tambour 110mm / 130mm / Disque 240mm / Tambour 110mm / 130mm,"JPN 2,50-18 / BRA 2.75-18 / JPN 3.00-17 BRA 3.00-18",40 km/L,Honda CB125,Honda CBF125,CG125 Fan and CG125 Circa / Honda TMX 125 Alpha (Philippines),https://upload.wikimedia.org/wikipedia/commons/d/dc/%E3%83%9B%E3%83%B3%E3%83%80_CG125.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q972048,https://en.wikipedia.org/wiki/Honda_CG125,https://fr.wikipedia.org/wiki/Honda_CG125,https://fr.wikipedia.org/wiki/Honda_CG125,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/%E3%83%9B%E3%83%B3%E3%83%80_CG125.jpg/960px-%E3%83%9B%E3%83%B3%E3%83%80_CG125.jpg,CC BY-SA 4.0,もんまえ あきら,https://commons.wikimedia.org/wiki/File:%E3%83%9B%E3%83%B3%E3%83%80_CG125.jpg,oui,La Honda CG125 est une moto légère produite par Honda depuis 1975.,1976–present,100,,Wikipedia EN (CC BY-SA 4.0)
yamaha-mt-07,Yamaha,yamaha,Yamaha MT-07,Yamaha MT-07,Yamaha MT-07,Yamaha MT-07,Yamaha MT-07,Roadster,5699,Wikipedia FR - prix au lancement (2014),oui,202.8,9441,oui,5,Yamaha MT-07,Japon,japonaise,Roadster,2014,,689.6,Twin parallèle,Liquide,74.8,55.0,9000,68.0,6500,179.0,tous pleins faits,164.0,179.0,805.0,1400.0,,745.0,,14.0,229.0,non,puissance > 35 kW,"Bicylindre en ligne « CP2 », 4T, refroidissement liquide",80 / 78 × 68.6 mm,11.5:1 (11.0:1 for the LAMS version),chaîne,périmétrique,fourche télescopique / monoamortisseur,"2 disques ⌀ 282 mm, étriers / disque ⌀ 245 mm, étrier",120/70 x 17 / 180/55 x 17,24.2 km/L (claimed) / 52.2 mpgus,Yamaha FZ6,,Yamaha FZ-07 (North America; 2015–2017),https://upload.wikimedia.org/wikipedia/commons/4/45/Yamaha_MT-07_2025_EICMA_2024.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q17061060,https://en.wikipedia.org/wiki/Yamaha_MT-07,https://fr.wikipedia.org/wiki/Yamaha_MT-07,https://fr.wikipedia.org/wiki/Yamaha_MT-07,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Yamaha_MT-07_2025_EICMA_2024.jpg/960px-Yamaha_MT-07_2025_EICMA_2024.jpg,CC BY-SA 4.0,AVMOTO,https://commons.wikimedia.org/wiki/File:Yamaha_MT-07_2025_EICMA_2024.jpg,oui,"La MT-07 (ou FZ-07 en Amérique du Nord) est un modèle de moto du constructeur japonais Yamaha Motor, commercialisé à partir de 2014.",2014–present,100,,Wikipedia EN (CC BY-SA 4.0)
